time,day,hour,minute,count,fsq_count,CategorieParents,Categories,Venues,Coord
Sat Sep 08 14:00:00 UTC 2012,5,14,840,1,1,Arts & Entertainment=1,Theme Park=1,Herbstfest Rosenheim=1,Theme Park=47.85979723 12.12631808
Sat Sep 08 14:30:00 UTC 2012,5,14,870,0,0,"","","",""
Sat Sep 08 15:00:00 UTC 2012,5,15,900,1,1,Arts & Entertainment=1,Theme Park=1,Herbstfest Rosenheim=1,Theme Park=47.85979723 12.12631808
Sat Sep 08 15:30:00 UTC 2012,5,15,930,0,0,"","","",""
Sat Sep 08 16:00:00 UTC 2012,5,16,960,0,0,"","","",""
Sat Sep 08 16:30:00 UTC 2012,5,16,990,0,0,"","","",""
Sat Sep 08 17:00:00 UTC 2012,5,17,1020,0,0,"","","",""
Sat Sep 08 17:30:00 UTC 2012,5,17,1050,1,0,"","","",""
Sat Sep 08 18:00:00 UTC 2012,5,18,1080,0,0,"","","",""
Sat Sep 08 18:30:00 UTC 2012,5,18,1110,0,0,"","","",""
Sat Sep 08 19:00:00 UTC 2012,5,19,1140,1,0,"","","",""
Sat Sep 08 19:30:00 UTC 2012,5,19,1170,0,0,"","","",""
Sat Sep 08 20:00:00 UTC 2012,5,20,1200,0,0,"","","",""
Sat Sep 08 20:30:00 UTC 2012,5,20,1230,0,0,"","","",""
Sat Sep 08 21:00:00 UTC 2012,5,21,1260,0,0,"","","",""
Sat Sep 08 21:30:00 UTC 2012,5,21,1290,0,0,"","","",""
Sat Sep 08 22:00:00 UTC 2012,5,22,1320,2,0,"","","",""
Sat Sep 08 22:30:00 UTC 2012,5,22,1350,0,0,"","","",""
Sat Sep 08 23:00:00 UTC 2012,5,23,1380,0,0,"","","",""
Sat Sep 08 23:30:00 UTC 2012,5,23,1410,0,0,"","","",""
Sun Sep 09 00:00:00 UTC 2012,6,0,0,0,0,"","","",""
Sun Sep 09 00:30:00 UTC 2012,6,0,30,0,0,"","","",""
Sun Sep 09 01:00:00 UTC 2012,6,1,60,2,0,"","","",""
Sun Sep 09 01:30:00 UTC 2012,6,1,90,0,0,"","","",""
Sun Sep 09 02:00:00 UTC 2012,6,2,120,3,0,"","","",""
Sun Sep 09 02:30:00 UTC 2012,6,2,150,0,0,"","","",""
Sun Sep 09 03:00:00 UTC 2012,6,3,180,1,0,"","","",""
Sun Sep 09 03:30:00 UTC 2012,6,3,210,0,0,"","","",""
Sun Sep 09 04:00:00 UTC 2012,6,4,240,1,0,"","","",""
Sun Sep 09 04:30:00 UTC 2012,6,4,270,0,0,"","","",""
Sun Sep 09 05:00:00 UTC 2012,6,5,300,0,0,"","","",""
Sun Sep 09 05:30:00 UTC 2012,6,5,330,0,0,"","","",""
Sun Sep 09 06:00:00 UTC 2012,6,6,360,0,0,"","","",""
Sun Sep 09 06:30:00 UTC 2012,6,6,390,0,0,"","","",""
Sun Sep 09 07:00:00 UTC 2012,6,7,420,0,0,"","","",""
Sun Sep 09 07:30:00 UTC 2012,6,7,450,0,0,"","","",""
Sun Sep 09 08:00:00 UTC 2012,6,8,480,0,0,"","","",""
Sun Sep 09 08:30:00 UTC 2012,6,8,510,1,1,Professional & Other Places=1,Office=1,in2code=1,Office=47.84775544 12.11336027
Sun Sep 09 09:00:00 UTC 2012,6,9,540,0,0,"","","",""
Sun Sep 09 09:30:00 UTC 2012,6,9,570,1,0,"","","",""
Sun Sep 09 10:00:00 UTC 2012,6,10,600,0,0,"","","",""
Sun Sep 09 10:30:00 UTC 2012,6,10,630,0,0,"","","",""
Sun Sep 09 11:00:00 UTC 2012,6,11,660,2,2,Professional & Other Places=1_Arts & Entertainment=1,Parking=1_Theme Park=1,Herbstfest Rosenheim=1_Lorettowiese=1,Theme Park=47.85979723 12.12631808_Parking=47.85997873 12.12769082
Sun Sep 09 11:30:00 UTC 2012,6,11,690,1,0,"","","",""
Sun Sep 09 12:00:00 UTC 2012,6,12,720,0,0,"","","",""
Sun Sep 09 12:30:00 UTC 2012,6,12,750,0,0,"","","",""
